1559643645 0 59 0
1559646065 0 63 0
1559651315 0 63 39
1559902399 0 63 96
1559904835 0 63 113
1560185000 0 63 231
1560186067 0 63 231
1560197731 0 87 231
1560198899 0 87 259
1560278214 0 240 259
1560280849 438 240 259
1560281993 439 240 259
1560339159 1000 240 259
1560343640 1039 240 259
1560424717 1151 240 259
1560424880 1153 240 259
1560425028 1154 240 259
1560437974 1258 240 259
1560440447 1267 240 259
1560440834 1273 240 259
1560464555 1313 240 259
1560506936 1313 256 259
1560509398 1313 260 259
1560509598 1313 260 259
1560521606 1313 281 259
1560521756 1313 283 259
1560534076 1362 283 259
1560534154 1364 283 259
1560534687 1368 283 259
1560535054 1373 283 259
1560535200 1376 283 259
1560535422 1379 283 259
1560535480 1381 283 259
1560535553 1383 283 259
1560536742 1384 283 259
1560536895 1385 283 259
1560537175 1388 283 259
1560617877 1388 1237 259
1560618304 1388 2258 259
1560619395 1388 4028 259
1560619474 1388 4033 259
1562864233 1608 4033 259
1562866821 1608 4033 392
1562875951 1859 4033 392
1562875967 1859 4033 392
1562876279 1859 4033 643
1562876283 1859 4033 643
1562878725 1861 4033 643
1562878769 1863 4033 643
1562879000 1870 4033 643
1562880576 1870 4033 643
1562883943 1896 4033 643
1562911724 2160 4033 643
1562918458 2241 4033 643
1562926540 2241 4033 643
1562926634 2241 4033 805
1563087947 2241 4110 805
1563089170 2241 4110 805
1563094401 2241 4112 805
1563140419 2241 4224 805
1563196406 2241 4224 830
1563198728 2241 4224 830
1563566694 2454 4224 830
1563572469 2454 4226 830
1563629355 2454 4246 830
1563629692 2454 4248 830
1563636986 2490 4248 830
1563645325 2690 4248 830
1563645875 2690 4251 830
1563646757 2690 4254 830
1563646863 2690 4254 830
1563654586 2690 4292 830
1563659130 2690 4294 830
1563715614 2690 4294 832
